region,Country,Glacier,RGI_Glacier_Area,Longitude,Latitude,Date,Date_Min,Date_Max,year
RGI60_01_Alaska,USA,Lacuna Glacier,176.235,-151.411722994,62.783692238,,2000-08-16 00:00:00,2001-09-11 00:00:00,2000
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2002-06-28 00:00:00,2002-07-30 00:00:00,2002
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2003-08-10 00:00:00,2003-10-13 00:00:00,2003
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2008-06-20 00:00:00,2008-07-24 00:00:00,2008
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2009-06-06 00:00:00,2009-08-02 00:00:00,2009
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2010-06-02 00:00:00,2010-09-15 00:00:00,2010
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2011-06-06 00:00:00,2011-06-21 00:00:00,2011
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2012-06-23 00:00:00,2012-07-09 00:00:00,2012
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2013-06-14 00:00:00,2013-06-27 00:00:00,2013
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2014-08-30 00:00:00,2014-09-25 00:00:00,2014
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2015-06-12 00:00:00,2015-06-15 00:00:00,2015
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2017-06-13 00:00:00,2017-06-22 00:00:00,2017
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2018-06-20 00:00:00,2018-06-27 00:00:00,2018
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2019-06-14 00:00:00,2019-06-22 00:00:00,2019
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2021-06-07 00:00:00,2021-06-14 00:00:00,2021
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2022-06-18 00:00:00,2022-06-22 00:00:00,2022
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2023-06-18 00:00:00,2023-06-30 00:00:00,2023
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2024-06-16 00:00:00,2024-06-16 00:00:00,2024
RGI60_01_Alaska,USA,Yanert Glacier,83.656,-147.560026055,63.6082600477,,2025-06-22 00:00:00,2025-06-27 00:00:00,2025
RGI60_01_Alaska,USA,Gulkana Glacier,17.567,-145.468,63.241,1970,,,1970
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1984-06-21 00:00:00,1984-07-23 00:00:00,1984
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1986-07-06 00:00:00,1986-09-15 00:00:00,1986
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1987-07-25 00:00:00,1987-08-10 00:00:00,1987
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1989-06-28 00:00:00,1989-08-22 00:00:00,1989
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1990-06-22 00:00:00,1990-08-18 00:00:00,1990
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1991-07-04 00:00:00,1991-10-31 00:00:00,1991
RGI60_01_Alaska,USA,Gilkey Glacier,229.99,-134.440718323,58.7781232769,,1992-06-27 00:00:00,1992-08-30 00:00:00,1992
