entity,code,month,_2025,_2024,_2023,_2022,_2021,_2020,_2019,_2018,_2017,_2016,_2015,_2014,_2013,_2012,_2011,_2010,_2009,_2008,_2007,_2006,_2005,_2004,_2003,_2002,_2001,_2000,_1999,_1998,_1997,_1996,_1995,_1994,_1993,_1992,_1991,_1990,_1989,_1988,_1987,_1986,_1985,_1984,_1983,_1982,_1981,_1980,_1979
Afghanistan,AFG,1,-0.56932306,4.5435524,-3.0921192,0.92062986,0.24188042,-1.3170563,1.8286344,2.2859595,0.80005014,2.3523083,2.0118396,0.8092403,-0.44666982,-1.7123986,0.7325849,2.6423743,0.5264122,-5.5957537,-0.8686515,-1.0290338,-1.7561394,2.2594104,2.2624655,1.3290793,-0.8873049,0.6626941,0.85006905,-0.7163459,0.34315187,-2.7958794,-0.43877983,0.34809047,-3.0334883,-0.16276109,-1.2841035,0.23568285,-3.0654192,0.8234904,1.550331,-0.9368459,-0.6863879,-2.0300612,-0.96593106,-0.4486674,0.028731704,-1.453528,0.4237082
Afghanistan,AFG,2,0.86792856,0.16392058,3.3264117,1.3052413,4.827371,2.0194168,-0.7919656,2.7621639,0.03945315,1.849127,2.5761096,-3.5342336,0.8698928,-3.855701,-0.60231733,1.1868227,1.6612637,-3.0509634,1.240242,4.7761955,-2.389915,2.080851,1.3400416,0.67595214,0.02112788,-2.4358206,1.6706209,-1.3771546,-2.2605686,0.48078364,-0.28865188,-2.2751217,1.2330282,-1.399322,-2.2213569,-1.0850952,-3.9742358,0.08688307,1.612365,-1.2592335,1.696666,-5.4294434,-0.6822518,-2.8675194,0.3260153,-0.89333004,0.09420824
Afghanistan,AFG,3,0.36176777,-0.7170749,3.5448632,3.9231057,3.2173953,0.35615063,-0.8025322,4.233831,0.4672389,2.012669,-0.7719064,-0.8642831,1.2383938,-1.5767512,-0.312191,3.1246667,1.7864308,3.271687,-0.9692836,1.2787719,0.60430765,3.4716191,-0.47203445,1.7123294,0.53943396,-1.3479247,-1.2017603,-1.2832346,-1.8659978,-1.0565729,-2.7642756,0.20840073,-3.1707141,-3.8432562,-2.0032034,-2.1409712,-1.45503,-0.9296975,1.6390414,-3.7436392,-0.20414639,1.4653134,-3.62378,-3.1187615,0.43721676,-1.183322,-3.0088959
Afghanistan,AFG,4,3.6395617,-1.4404459,1.2093201,4.1598063,2.1004324,-0.381011,0.77099705,1.2533827,1.1206427,0.05672455,0.8462429,-0.37429714,-0.8876362,0.0970211,0.5763769,2.1428766,-2.2485914,0.90320015,2.3752604,0.5733423,-1.4257307,1.2180815,0.5090904,0.9406662,2.4249191,2.8480263,-0.5053539,0.8311491,-1.9061909,-0.97916985,-1.4447489,-2.8239841,-1.1187572,-3.0784845,-2.314046,-1.3466272,-2.9800253,0.63235474,-0.45570564,-1.4643345,0.44515514,0.3256111,-2.751256,-0.6986494,0.5687456,1.7855339,1.2505722
Afghanistan,AFG,5,2.7816448,0.20262146,0.32294273,1.2075062,1.1306744,0.12881851,-0.2939415,-0.65444565,2.456398,2.0443745,0.61619186,-0.6999111,-0.07610321,-0.5269661,2.463581,0.70846367,-0.11227226,1.7069721,0.44475365,2.945444,-2.7469482,0.9137249,-2.588585,0.79859734,3.2560482,3.6140614,-0.61623573,-0.6558342,-2.5355167,-2.22299,-1.3099918,-0.52760315,-0.51122665,-3.9084759,-2.110386,1.0355206,-3.5385828,0.82883835,-0.81803894,-0.5128479,-0.619648,0.19377708,-0.2078743,-1.229784,0.104408264,0.42679977,-3.7272654
Afghanistan,AFG,6,0.767231,0.43910408,1.8280315,0.5179939,1.8696518,0.89086723,-0.7474003,1.1557598,1.9339027,0.9701729,0.5554218,0.4296894,1.2318134,-1.0407429,1.6053829,-0.29115486,-2.671198,2.2784863,0.5775547,0.12248802,-0.41151237,-0.22947502,-0.6212845,0.33136177,1.1531067,-0.4385605,0.042705536,-1.885437,-0.49625397,-0.47057343,-0.72779846,0.10394478,-0.759161,-1.2619133,-1.3302231,-0.13799095,-1.0880966,0.6910019,-1.8211689,-0.47790527,-0.14902878,0.023025513,-0.5222702,-1.0175648,-1.3994789,0.06385803,-0.80410004
Afghanistan,AFG,7,1.273695,1.0557041,0.4548626,1.065548,1.4267235,0.61307526,1.9579391,1.6479778,1.0686626,0.71131325,0.77744865,0.22528839,0.55059814,0.19905663,0.0867939,-0.20209694,-0.3556614,0.9658718,-0.38812828,0.6111336,-0.085386276,-1.3421688,0.8485546,-1.089056,0.06493759,-1.1982536,-0.81326866,-0.10331154,0.51758385,-1.2578983,0.35597992,-0.35707474,-1.46241,-1.341919,-1.2056274,-0.65226555,-1.4713039,0.8053112,-1.890295,-1.169033,0.30529404,-0.100681305,0.05711937,-1.3176785,-0.6270008,-0.1934967,0.08606911
Afghanistan,AFG,8,0.8062649,1.7023239,0.0653286,-1.0099335,-0.2136879,1.1535778,0.71543884,0.8752575,0.18390846,-0.51539993,-0.012483597,0.04378891,0.23331642,0.49333954,1.5425758,-0.28896713,0.89269257,0.12958336,-0.31033897,0.56313133,-0.4565735,-0.5540905,-0.08528519,0.63910675,-0.29201317,-0.36428642,-0.10178566,0.01517868,-0.2724495,-0.9717674,0.42078018,0.8023472,-1.8242817,-1.8559952,-0.79829025,0.37711716,-1.5746365,-0.93953705,0.18124199,-1.7577572,-1.4273262,1.402977,0.5487747,-0.9810505,-1.1151752,-0.6520939,-1.6067009
Afghanistan,AFG,9,1.4375343,1.2704334,0.41243172,0.9993706,2.0757751,-0.5935402,2.1434708,0.20196152,0.65195084,2.178091,-1.032629,1.6220627,1.5728188,-0.6638241,0.72519684,-0.94382095,0.4575882,0.29644585,-0.35010338,-0.22146606,1.2733784,-0.21821785,-0.38315964,-0.6946125,-0.4519596,0.31918526,0.2516861,0.2359314,-0.09632492,1.1131783,-0.8221569,-3.3908024,-0.11943436,-2.0896893,-0.97122765,0.5827961,-1.0405369,-0.2831211,0.16987419,-1.3047161,-0.7860794,-1.5257988,0.40595627,-2.2948322,-0.9825096,-1.016695,-0.84248924
Afghanistan,AFG,10,1.2994671,2.2722912,1.6480207,0.5234146,-0.74785805,-1.5192862,1.1702547,-0.9130974,1.7642794,0.3831482,1.406908,0.57186985,1.2199831,-0.46791363,0.4924841,1.9266205,-1.1909866,1.3389044,-2.2286816,3.168583,0.6576395,-1.9098434,0.819726,1.6786938,1.0142527,0.22056389,0.582387,0.10074711,0.1984005,-1.4076319,-0.81504536,-2.125866,-2.6779108,-1.402504,-2.0566807,-0.55938244,-0.029141426,-1.0657129,-2.4289284,0.43222904,-1.2615957,-2.3955135,-1.4090414,-0.4702978,-2.1794453,0.20889091,1.6194744
