region,ID_old,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_mr,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments
RGI60_01_Alaska,running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date,Latest possible date,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge,Maximum reported peak discharge,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments
RGI60_01_Alaska,,,e.g. Karakoram,e.g. Pakistan,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m²,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,
RGI60_01_Alaska,897,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Lacuna Glacier,RGI06-01.26743,176.235,n105,n105xxxxxxxxxxx,ice,-151.411722994,62.783692238,,,2000-08-16 00:00:00,2001-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,433692,,2000-08-16 00:00:00,Landsat 7,,2,26816,,2001-09-11 00:00:00,Landsat 7,,2,
RGI60_01_Alaska,926,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2002-06-28 00:00:00,2002-07-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,253120,,2002-06-28 00:00:00,Landsat 7,,1,41461,,2002-07-30 00:00:00,Landsat 7,,2,"""before""- Image covered by cloud, no other picture available"
RGI60_01_Alaska,927,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2003-08-10 00:00:00,2003-10-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,263431,,2003-08-10 00:00:00,Landsat 5,,2,0,,2003-10-13 00:00:00,Landsat 5,,2,
RGI60_01_Alaska,,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2008-06-20 00:00:00,2008-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Georg Veh,,368014,,2008-06-20 00:00:00,Landsat 5,"LT05_L1TP_069015_20080620_20200829_02_T1_[-147.60904312133792,63.59156937600068,-147.51514434814456,63.62147494200507]_B3-B2-B1-B4-B5",2,0,,2008-07-24 00:00:00,Landsat 5,"LT05_L1TP_067016_20080724_20200829_02_T1_[-147.63565063476565,63.58538440969906,-147.49282836914065,63.62147494200507]_B3-B2-B1-B4-B5",2,
RGI60_01_Alaska,928,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2009-06-06 00:00:00,2009-08-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,409658,,2009-06-06 00:00:00,RapidEye,,2,0,,2009-08-02 00:00:00,RapidEye,,2,
RGI60_01_Alaska,,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2010-06-02 00:00:00,2010-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Georg Veh,,294156,,2010-06-02 00:00:00,Landsat 7,"LE07_L1TP_068016_20100526_20200911_02_T1_[-147.63565063476565,63.59226414624538,-147.49282836914065,63.62147494200507]_B3-B2-B1-B4-B5",1,0,,2010-09-15 00:00:00,Landsat 7,,2,LE7 stripes
RGI60_01_Alaska,,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2011-06-06 00:00:00,2011-06-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Georg Veh,,346638,,2011-06-06 00:00:00,Landsat 5,"LT05_L1TP_068015_20110606_20200822_02_T1_[-147.59290695190433,63.59195111999331,-147.51085281372073,63.622847751769285]_B3-B2-B1-B4-B5",2,0,,2011-06-21 00:00:00,Landsat 7,"LE07_L1TP_069015_20110621_20200910_02_T1_[-147.65436172485354,63.5905844528455,-147.51153945922854,63.619796973329976]_B3-B2-B1-B4",2,
RGI60_01_Alaska,,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2012-06-23 00:00:00,2012-07-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Georg Veh,,324510,,2012-06-23 00:00:00,Landsat 7,"LE07_L1TP_069015_20120623_20200908_02_T1_[-147.62861251831058,63.59333299041715,-147.48579025268558,63.62254268866465]_B3-B2-B1-B4-B5",2,0,,2012-07-09 00:00:00,Landsat 7,"LE07_L1TP_069015_20120709_20200908_02_T1_[-147.62861251831058,63.59333299041715,-147.48579025268558,63.62254268866465]_B3-B2-B1-B4-B5",1,LE7 stripes
RGI60_01_Alaska,929,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2013-06-14 00:00:00,2013-06-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,362467,,2013-06-14 00:00:00,RapidEye,,2,11249,,2013-06-27 00:00:00,RapidEye,,2,
RGI60_01_Alaska,,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2014-08-30 00:00:00,2014-09-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Georg Veh,,392755,,2014-08-30 00:00:00,RapidEye,668413_2014-08-30_RE3_3A_Analytic_SR_clip,2,0,,2014-09-25 00:00:00,Landsat 8,"LC08_L1TP_069015_20140925_20200910_02_T1_[-147.58359777656398,63.596221900401936,-147.52921822674128,63.61490844065591]_B4-B3-B2-B5-B6",1,Ice covered afterwards
RGI60_01_Alaska,930,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Yanert Glacier,RGI60-01.00042,83.656,n214,n214xxxxxxxxxxx,ice,-147.560026055,63.6082600477,,,2015-06-12 00:00:00,2015-06-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,"Rick, B., McGrath, D., McCoy, S. W., & Armstrong, W. H. (2023). Unchanged frequency and decreasing magnitude of outbursts from ice-dammed lakes in Alaska. Nature Communications, 14(1), 6138.",,463634,,2015-05-29 00:00:00,RapidEye,668413_2015-05-29_RE4_3A_Analytic_SR_clip,2,26747,,2015-06-12 00:00:00,RapidEye,668413_2015-06-12_RE3_3A_Analytic_SR_clip,2,
